feature,importance
avg_word_length,50249.721049785614
longest_sentence_length,12158.79111623764
char_count,6532.679176568985
gaze,5986.8218059539795
shadows,5503.301435470581
weight,4984.825414657593
casting,4980.420249938965
reminder,3497.2921590805054
said,2903.521852016449
digit_count,2660.602556705475
word_count,2312.910395860672
voice,2156.690854072571
amidst,2139.9276876449585
went,1992.6405279636383
air,1909.486330986023
people,1816.3194370269775
repeated_token_ratio,1450.3667333126068
despite,1238.6901741027832
testament,1198.8529801368713
gentle,1108.9230194091797
