Dataset,Model,ROC-AUC,Brier,F1,C@1,F0.5u
PAN2025,LR,0.9952940363579216,0.028131092931694704,0.9774436090225563,0.9707439398161049,0.9735535775419377
PAN2025,DeBERTa,0.994785301840115,0.11060401710370797,0.8833615068823956,0.865422123154082,0.9498338180307436
PAN2025,Qwen_LoRA,0.9999342912806561,0.0018706916955525017,0.998052369616966,0.9974923376985233,0.9984412885348112
PAN2025,Ensemble (Mean),0.999377121985189,0.02108914796788977,0.9958758411113523,0.9947060462524381,0.9980856247824573
PAN2025,Ensemble (Weighted),0.999421492305983,0.015702923975880106,0.9971818773032733,0.9963778211200892,0.9986106286905175
PAN2025,Ensemble (Majority Vote),0.999377121985189,0.02108914796788977,0.9947871416159861,0.9933129005293955,0.9973867595818815
HC3,LR,0.5519123679058456,0.27046838315875166,0.6068292682926829,0.5213776722090262,0.5481142051462813
HC3,DeBERTa,0.5938877009269865,0.49393842224212753,0.002372479240806643,0.5005938242280286,0.00591016548463357
HC3,Qwen_LoRA,0.9981797383223971,0.011232091123489205,0.98676293622142,0.986935866983373,0.9946627850557982
HC3,Ensemble (Mean),0.9906976941001235,0.13456134599096853,0.8354080221300139,0.8586698337292162,0.9269490484960098
HC3,Ensemble (Weighted),0.9919022686624426,0.09886658990279852,0.975669099756691,0.9762470308788599,0.9901234567901235
HC3,Ensemble (Majority Vote),0.9906976941001235,0.13456134599096853,0.8378191856452726,0.8604513064133017,0.9281345565749235
RAID,LR,0.6073540000000001,0.2848780706337854,0.6176808266360505,0.5005000000000001,0.5414653784219001
RAID,DeBERTa,0.735095,0.4186770484001878,0.18,0.549,0.3535714285714286
RAID,Qwen_LoRA,0.8151625,0.14911554816747155,0.8181818181818182,0.846,0.9176377118644068
RAID,Ensemble (Mean),0.8027789999999999,0.1789443110522664,0.7725321888412017,0.8145,0.8938706015891033
RAID,Ensemble (Weighted),0.805856,0.16465718421058506,0.8083333333333333,0.839,0.9126344086021505
RAID,Ensemble (Majority Vote),0.8027789999999999,0.1789443110522664,0.773561811505508,0.8150000000000001,0.8936651583710408
